event_key,formation_date,action_date,selection_as_of,ts_code,name,trade_date,trading_day_number,is_action_date,data_status,open,high,low,close,pre_close,pct_chg_percent,volume_shares,amount_cny,adj_factor,entry_open_raw,entry_open_adjusted,open_return_since_entry,high_return_since_entry,low_return_since_entry,close_return_since_entry,max_close_return_so_far,max_high_return_so_far,mae_since_entry,close_drawdown_from_peak,available_at,availability_precision,quality_status,price_basis
formal:2026-08-19:000703.SZ:selected,2026-08-19,2026-08-20,2026-08-20T09:05:00+08:00,000703.SZ,恒逸石化,2026-08-20,1,True,available,19.32,20.7,18.84,20.1,19.08,5.3459,174598562.0,3496241963.04,9.9241,19.32,191.733612,0.0,0.0714285714285714,-0.024844720496894568,0.04037267080745344,0.04037267080745344,0.0714285714285714,-0.024844720496894568,0.0,2026-08-20T07:01:00+00:00,inferred_from_endpoint_policy,passed,raw_ohlc; cumulative_returns_use_ohlc_times_adj_factor
formal:2026-08-19:601609.SH:selected,2026-08-19,2026-08-20,2026-08-20T09:05:00+08:00,601609.SH,金田股份,2026-08-25,4,False,available,13.12,13.55,13.1,13.46,13.38,0.5979,73225650.0,978161080.0,1.1003,12.83,14.116849,0.02260327357755254,0.05611847233047551,0.02104442712392829,0.049103663289166155,0.049103663289166155,0.05611847233047551,-0.03273577552611062,0.0,2026-08-25T07:01:00+00:00,inferred_from_endpoint_policy,passed,raw_ohlc; cumulative_returns_use_ohlc_times_adj_factor
formal:2026-08-19:601609.SH:selected,2026-08-19,2026-08-20,2026-08-20T09:05:00+08:00,601609.SH,金田股份,2026-08-26,5,False,available,13.46,13.64,13.17,13.17,13.46,-2.1545,58244290.0,777599360.0,1.1003,12.83,14.116849,0.049103663289166155,0.06313328137178487,0.026500389711613392,0.026500389711613392,0.049103663289166155,0.06313328137178487,-0.03273577552611062,-0.02154531946508187,2026-08-26T07:01:00+00:00,inferred_from_endpoint_policy,passed,raw_ohlc; cumulative_returns_use_ohlc_times_adj_factor
formal:2026-08-19:601609.SH:selected,2026-08-19,2026-08-20,2026-08-20T09:05:00+08:00,601609.SH,金田股份,2026-08-27,6,False,available,13.17,13.63,13.02,13.35,13.17,1.3667,66568292.00000001,884540012.0,1.1003,12.83,14.116849,0.026500389711613392,0.06235385814497274,0.014809041309431059,0.040530007794232326,0.049103663289166155,0.06313328137178487,-0.03273577552611062,-0.008172362555720736,2026-08-27T07:01:00+00:00,inferred_from_endpoint_policy,passed,raw_ohlc; cumulative_returns_use_ohlc_times_adj_factor
formal:2026-08-19:601609.SH:selected,2026-08-19,2026-08-20,2026-08-20T09:05:00+08:00,601609.SH,金田股份,2026-08-28,7,False,available,13.3,13.34,12.92,12.98,13.35,-2.7715,45706286.0,597568658.0,1.1003,12.83,14.116849,0.036632891660171474,0.0397505845674202,0.007014809041309578,0.011691348402182555,0.049103663289166155,0.06313328137178487,-0.03273577552611062,-0.03566121842496284,2026-08-28T07:01:00+00:00,inferred_from_endpoint_policy,passed,raw_ohlc; cumulative_returns_use_ohlc_times_adj_factor
formal:2026-08-19:601609.SH:selected,2026-08-19,2026-08-20,2026-08-20T09:05:00+08:00,601609.SH,金田股份,2026-08-31,8,False,available,12.63,13.54,12.56,13.49,12.98,3.9291,57491760.0,753175705.0,1.1003,12.83,14.116849,-0.015588464536243074,0.05533904910366316,-0.021044427123928178,0.05144193296960253,0.05144193296960253,0.06313328137178487,-0.03273577552611062,0.0,2026-08-31T07:01:00+00:00,inferred_from_endpoint_policy,passed,raw_ohlc; cumulative_returns_use_ohlc_times_adj_factor
formal:2026-08-19:600408.SH:selected,2026-08-19,2026-08-20,2026-08-20T09:05:00+08:00,600408.SH,安泰集团,2026-08-20,1,True,available,2.85,2.96,2.77,2.81,3.08,-8.7662,147495251.0,418024637.0,4.214,2.85,12.009900000000002,0.0,0.03859649122807007,-0.02807017543859658,-0.01403508771929829,-0.01403508771929829,0.03859649122807007,-0.02807017543859658,0.0,2026-08-20T07:01:00+00:00,inferred_from_endpoint_policy,passed,raw_ohlc; cumulative_returns_use_ohlc_times_adj_factor
formal:2026-08-19:600408.SH:selected,2026-08-19,2026-08-20,2026-08-20T09:05:00+08:00,600408.SH,安泰集团,2026-08-21,2,False,available,2.72,2.87,2.7,2.87,2.81,2.1352,96098620.0,269382619.0,4.214,2.85,12.009900000000002,-0.04561403508771922,0.007017543859649145,-0.05263157894736836,0.007017543859649145,0.007017543859649145,0.03859649122807007,-0.05263157894736836,0.0,2026-08-21T07:01:00+00:00,inferred_from_endpoint_policy,passed,raw_ohlc; cumulative_returns_use_ohlc_times_adj_factor
formal:2026-08-19:600408.SH:selected,2026-08-19,2026-08-20,2026-08-20T09:05:00+08:00,600408.SH,安泰集团,2026-08-24,3,False,available,2.87,2.95,2.81,2.86,2.87,-0.3484,73968600.0,211322982.0,4.214,2.85,12.009900000000002,0.007017543859649145,0.03508771929824572,-0.01403508771929829,0.0035087719298243503,0.007017543859649145,0.03859649122807007,-0.05263157894736836,-0.0034843205574914826,2026-08-24T07:01:00+00:00,inferred_from_endpoint_policy,passed,raw_ohlc; cumulative_returns_use_ohlc_times_adj_factor
formal:2026-08-19:600408.SH:selected,2026-08-19,2026-08-20,2026-08-20T09:05:00+08:00,600408.SH,安泰集团,2026-08-25,4,False,available,2.85,2.98,2.82,2.95,2.86,3.1469,84283001.0,246053874.0,4.214,2.85,12.009900000000002,0.0,0.04561403508771922,-0.010526315789473828,0.03508771929824572,0.03508771929824572,0.04561403508771922,-0.05263157894736836,0.0,2026-08-25T07:01:00+00:00,inferred_from_endpoint_policy,passed,raw_ohlc; cumulative_returns_use_ohlc_times_adj_factor
formal:2026-08-19:600408.SH:selected,2026-08-19,2026-08-20,2026-08-20T09:05:00+08:00,600408.SH,安泰集团,2026-08-26,5,False,available,2.92,3.0,2.88,2.96,2.95,0.339,58081419.99999999,171905316.0,4.214,2.85,12.009900000000002,0.024561403508771784,0.05263157894736836,0.010526315789473717,0.03859649122807007,0.03859649122807007,0.05263157894736836,-0.05263157894736836,0.0,2026-08-26T07:01:00+00:00,inferred_from_endpoint_policy,passed,raw_ohlc; cumulative_returns_use_ohlc_times_adj_factor
